Product Name,Category,Code,Malayalam Name,Variants,Selling Price,Original Price (MRP),Image URL
"Skei Cup Strawberry Ice Cream (Cup)","Desserts & Ice Creams","ANG-DES-0226","സ്കീ കപ്പ് സ്ട്രോബെറി ഐസ് ക്രീം കപ്പ്","100 ml","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cups-03.jpg"
"Skei Cup Vanilla Ice Cream (Cup)","Desserts & Ice Creams","ANG-DES-0227","സ്കീ കപ്പ് വാനില ഐസ് ക്രീം കപ്പ്","100 ml","₹30","₹30","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/cups-02.jpg"
"Skei Green Apple Double Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0228","സ്കീ ഗ്രീൻ ആപ്പിൾ Double ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sticks-06.jpg"
"Skei Orange Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0229","സ്കീ ഓറഞ്ച് ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/grape_orange-15.jpg"
"Skei Grape Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0230","സ്കീ ഗ്രേപ്പ് ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/grape_lolly-14.jpg"
"Skei Raspberry Double Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0231","സ്കീ റാസ്പ്ബെറി Double ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sticks-07.jpg"
"Skei Mango Duble Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0232","സ്കീ മാംഗോ Duble ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sticks-03.jpg"
"Skei Blue Boom Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0233","സ്കീ ബ്ലൂ ബൂം ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/blue_boom-10.jpg"
"Skei Twister Passion Fruit Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0234","സ്കീ ട്വിസ്റ്റർ പാഷൻ ഫ്രൂട്ട് ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sticks-08.jpg"
"Skei Mini Chocobar Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0235","സ്കീ മിനി ചോക്കോബാർ ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","45 ml","₹25","₹25","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/mini_chocobar-05.jpg"
"Skei Crack Bar Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0236","സ്കീ ക്രാക്ക് ബാർ ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","80 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/crack_bar-05.jpg"
"Skei Malai Kulfi Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0237","സ്കീ മലായ് കുൾഫി ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","70 ml","₹35","₹35","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/malai_kulfi-10.jpg"
"Skei Big Chocobar Ice Cream (Stick / Bar)","Desserts & Ice Creams","ANG-DES-0238","സ്കീ ബിഗ് ചോക്കോബാർ ഐസ് ക്രീം സ്റ്റിക്ക് ബാർ","80 ml","₹45","₹45","https://aadutygzgrbexxuznqlr.supabase.co/storage/v1/object/public/item-images/skei/sticks-04.jpg"
